# 2396000+         m
200.4              5.2
201.4              5.2
203.5              4.1
205.6              5.0
206.4              5.2
211.6              5.0
212.4              5.1
214.6              4.2
215.4              4.4
217.5              5.1
221.4              4.9
222.4              5.0
225.4              4.5
227.4              5.1
231.4              4.5
235.4              4.1
236.4              4.6
237.4              4.8
238.4              5.0
239.4              5.2
240.4              4.6
241.4              4.2
244.4              4.9
245.6              5.0
250.6              5.1
259.4              5.0
261.4              5.2
262.4              4.5
267.5              4.5
268.4              4.3
270.3              5.0
274.6              4.9
275.3              5.0
276.4              5.1
279.3              4.2
280.4              5.1
285.4              4.8
287.4              5.1
288.4              5.0
290.4              4.4
291.3              5.0
292.3              4.9
293.4              5.1
297.4              5.0
300.3              4.0
301.4              4.5
303.3              5.1
304.4              4.9
306.4              4.4
307.3              4.7
308.3              5.0
309.4              5.2
316.3              4.0
321.3              4.1
323.3              4.7
324.3              5.1
326.5              4.4
327.3              4.2
329.3              5.0
330.2              5.1
333.3              4.5
334.4              4.9
